Image_ID,Image_Width,Image_Height,Number_of_Particles,Total_Particle_Area,Avg_Diameter_um,Std_Diameter_um,Min_Diameter_um,Max_Diameter_um,Pore_Area_Fraction,Particle_Area_Fraction,Aspect_Ratio_Avg,Aspect_Ratio_Std,Circularity_Avg,Circularity_Std,Elongation_Avg,Elongation_Std,Agglomeration_Degree,Grain_Boundary_Density,Fractal_Dimension,Particle_Sizes_List
SEM_001,570,426,113,76604,14.14,25.75,1.13,201.41,0.68,0.32,2.15,1.39,1.44,4.96,0.51,0.32,0.32,0.12,1.76,"[201.40856956758887, 2.5231325220201604, 10.585134856802455, 1.9544100476116797, 1.1283791670955126, 19.994929783493642, 4.51351666838205, 5.292567428401227, 63.7309512537289, 15.347615963921077, 2.985410660720923, 90.59416154125418, 2.5231325220201604, 3.742410318509555, 4.652426491681278, 50.487875460944046, 9.304852983362556, 4.370193722368317, 1.9544100476116797, 19.015783725757565, 3.742410318509555, 16.42944866646031, 3.385137501286538, 2.763953195770684, 1.5957691216057308, 10.524820207108489, 1.1283791670955126, 2.256758334191025, 1.1283791670955126, 3.385137501286538, 1.5957691216057308, 12.360774464742066, 1.5957691216057308, 3.9088200952233594, 7.48482063701911, 86.44444972380049, 7.898654169668588, 5.641895835477563, 1.1283791670955126, 12.565098628628435, 10.881694613449236, 1.5957691216057308, 21.23032733700184, 54.83969187244267, 6.076507779746499, 28.16430784468183, 3.385137501286538, 1.1283791670955126, 40.1011414426137, 41.597266031496424, 31.270560761786875, 1.1283791670955126, 38.54699143520717, 9.901487006738307, 1.5957691216057308, 14.668929172241665, 47.27087264912941, 8.884866446580956, 6.770275002573076, 6.383076486422923, 24.148368712786887, 3.742410318509555, 7.046725639945928, 46.932977876881324, 9.772050238058398, 4.222008245644752, 9.0270333367641, 9.83698151873187, 17.03815178355966, 98.51208966401742, 23.06976657227589, 5.046265044040321, 26.939683377854365, 12.205286835384658, 2.5231325220201604, 18.29923496393627, 1.1283791670955126, 2.5231325220201604, 54.150444795265344, 2.256758334191025, 1.5957691216057308, 1.5957691216057308, 4.370193722368317, 1.5957691216057308, 4.51351666838205, 2.256758334191025, 1.1283791670955126, 1.1283791670955126, 3.385137501286538, 2.985410660720923, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 28.479002615897535, 13.398760233979036, 11.227230955528665, 1.1283791670955126, 1.9544100476116797, 1.5957691216057308, 12.914889870235298, 11.562445770562215, 1.5957691216057308, 1.1283791670955126, 6.4820448144285745, 7.898654169668588, 1.1283791670955126, 1.9544100476116797, 1.1283791670955126, 2.256758334191025, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 1.5957691216057308]"
SEM_002,959,672,1,644448,905.83,0.00,905.83,905.83,0.00,1.00,1.43,0.00,0.76,0.00,0.30,0.00,1.00,0.07,1.85,[905.8347962655697]
SEM_003,432,426,22,52669,21.75,50.75,1.13,249.43,0.71,0.29,8.79,30.61,0.95,1.11,0.40,0.31,0.29,0.03,1.60,"[40.25958197060499, 20.806283791440396, 249.43305786018766, 1.9544100476116797, 11.451797811161432, 1.1283791670955126, 1.9544100476116797, 1.5957691216057308, 6.383076486422923, 1.1283791670955126, 4.222008245644752, 1.1283791670955126, 2.256758334191025, 16.351767622932517, 19.511499785403828, 19.511499785403828, 15.306079714651624, 19.706294962377495, 11.562445770562215, 2.256758334191025, 2.5231325220201604, 28.00563442518059]"
SEM_004,194,167,322,10928,4.26,5.01,1.13,38.25,0.66,0.34,1.82,1.07,1.66,4.26,0.48,0.31,0.34,0.35,1.81,"[38.24855862513909, 4.222008245644752, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 2.763953195770684, 3.1915382432114616, 9.373021315815206, 3.1915382432114616, 5.046265044040321, 32.684063058818154, 1.5957691216057308, 2.256758334191025, 2.256758334191025, 2.5231325220201604, 4.370193722368317, 4.068428945128219, 1.1283791670955126, 2.763953195770684, 12.257335203001883, 1.5957691216057308, 5.4115163798060095, 6.383076486422923, 3.1915382432114616, 1.5957691216057308, 1.9544100476116797, 5.292567428401227, 1.9544100476116797, 2.256758334191025, 7.046725639945928, 1.1283791670955126, 5.970821321441846, 3.5682482323055424, 1.1283791670955126, 4.652426491681278, 5.4115163798060095, 1.5957691216057308, 14.048207338801282, 6.770275002573076, 3.1915382432114616, 8.884866446580956, 5.046265044040321, 3.385137501286538, 1.1283791670955126, 1.9544100476116797, 3.5682482323055424, 3.385137501286538, 5.527906391541368, 7.225151993843567, 2.256758334191025, 1.9544100476116797, 1.9544100476116797, 4.787307364817192, 10.155412503859614, 4.652426491681278, 3.9088200952233594, 2.256758334191025, 1.9544100476116797, 2.763953195770684, 8.444016491289505, 1.1283791670955126, 4.068428945128219, 6.579524642479541, 1.5957691216057308, 3.1915382432114616, 3.1915382432114616, 16.07692842495848, 2.256758334191025, 1.1283791670955126, 3.742410318509555, 12.865501965161373, 1.9544100476116797, 3.1915382432114616, 1.1283791670955126, 2.763953195770684, 1.5957691216057308, 2.985410660720923, 1.9544100476116797, 4.652426491681278, 1.5957691216057308, 17.480774889473267, 1.9544100476116797, 6.282549314314218, 20.49802550887777, 3.1915382432114616, 4.222008245644752, 4.222008245644752, 5.753627391751592, 9.373021315815206, 2.5231325220201604, 3.1915382432114616, 1.9544100476116797, 1.5957691216057308, 5.170882945826411, 1.9544100476116797, 3.385137501286538, 3.742410318509555, 1.5957691216057308, 5.4115163798060095, 2.5231325220201604, 2.763953195770684, 2.5231325220201604, 3.1915382432114616, 1.5957691216057308, 19.802974013476614, 19.867165345562018, 1.5957691216057308, 5.046265044040321, 3.1915382432114616, 4.370193722368317, 2.5231325220201604, 1.5957691216057308, 4.652426491681278, 1.5957691216057308, 3.385137501286538, 4.787307364817192, 2.763953195770684, 6.4820448144285745, 7.136496464611085, 4.370193722368317, 4.222008245644752, 1.5957691216057308, 1.1283791670955126, 4.787307364817192, 1.5957691216057308, 3.742410318509555, 15.67594437773643, 1.5957691216057308, 1.9544100476116797, 3.5682482323055424, 8.058239062071396, 2.5231325220201604, 5.170882945826411, 1.9544100476116797, 3.742410318509555, 1.9544100476116797, 2.256758334191025, 1.1283791670955126, 25.38226171238474, 1.1283791670955126, 1.5957691216057308, 3.742410318509555, 3.1915382432114616, 2.5231325220201604, 5.170882945826411, 1.1283791670955126, 1.9544100476116797, 1.5957691216057308, 4.068428945128219, 5.863230142835039, 1.9544100476116797, 2.256758334191025, 2.256758334191025, 1.5957691216057308, 9.373021315815206, 1.9544100476116797, 1.1283791670955126, 1.1283791670955126, 1.9544100476116797, 2.256758334191025, 1.5957691216057308, 1.1283791670955126, 5.170882945826411, 1.1283791670955126, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 6.863662517577698, 1.5957691216057308, 2.5231325220201604, 6.282549314314218, 5.046265044040321, 4.370193722368317, 13.680870333281758, 1.1283791670955126, 3.1915382432114616, 1.1283791670955126, 8.51907589177983, 2.5231325220201604, 2.5231325220201604, 1.5957691216057308, 2.985410660720923, 4.787307364817192, 2.763953195770684, 4.652426491681278, 7.978845608028654, 5.863230142835039, 2.256758334191025, 10.403141895720198, 4.370193722368317, 3.742410318509555, 2.5231325220201604, 1.1283791670955126, 5.970821321441846, 3.385137501286538, 1.1283791670955126, 2.763953195770684, 2.5231325220201604, 32.878265974350796, 1.5957691216057308, 2.763953195770684, 8.51907589177983, 6.4820448144285745, 3.385137501286538, 9.901487006738307, 1.1283791670955126, 3.9088200952233594, 1.9544100476116797, 3.742410318509555, 2.256758334191025, 1.1283791670955126, 1.9544100476116797, 4.068428945128219, 2.5231325220201604, 4.51351666838205, 10.881694613449236, 14.712264360219255, 16.39065416446578, 7.653039857325812, 1.9544100476116797, 2.256758334191025, 1.5957691216057308, 3.1915382432114616, 3.385137501286538, 2.256758334191025, 1.1283791670955126, 3.742410318509555, 2.256758334191025, 1.1283791670955126, 1.5957691216057308, 1.9544100476116797, 1.1283791670955126, 4.068428945128219, 1.1283791670955126, 5.641895835477563, 14.317526556719258, 1.1283791670955126, 5.4115163798060095, 1.1283791670955126, 2.763953195770684, 1.9544100476116797, 5.170882945826411, 2.5231325220201604, 1.1283791670955126, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 1.5957691216057308, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 3.5682482323055424, 1.5957691216057308, 5.641895835477563, 2.256758334191025, 18.609705966725112, 1.9544100476116797, 1.9544100476116797, 4.370193722368317, 1.5957691216057308, 1.9544100476116797, 2.763953195770684, 2.5231325220201604, 1.1283791670955126, 2.256758334191025, 3.9088200952233594, 1.1283791670955126, 1.9544100476116797, 2.5231325220201604, 1.5957691216057308, 9.373021315815206, 7.225151993843567, 1.1283791670955126, 1.1283791670955126, 1.9544100476116797, 3.385137501286538, 36.24890633062862, 10.092530088080641, 2.5231325220201604, 13.540550005146152, 5.4115163798060095, 1.1283791670955126, 3.385137501286538, 2.256758334191025, 1.5957691216057308, 4.652426491681278, 1.5957691216057308, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 5.527906391541368, 3.5682482323055424, 1.1283791670955126, 2.763953195770684, 2.763953195770684, 2.256758334191025, 2.5231325220201604, 2.256758334191025, 1.9544100476116797, 1.5957691216057308, 5.863230142835039, 3.9088200952233594, 6.955796338302048, 1.5957691216057308, 1.5957691216057308, 3.5682482323055424, 1.1283791670955126, 4.370193722368317, 2.763953195770684, 1.1283791670955126, 4.068428945128219, 3.385137501286538, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 3.1915382432114616, 2.5231325220201604, 1.1283791670955126, 1.1283791670955126]"
SEM_005,570,426,121,54659,14.85,18.84,1.13,98.62,0.77,0.23,2.50,1.82,1.20,3.46,0.49,0.28,0.23,0.09,1.68,"[97.01436344522558, 11.941642642883693, 60.4288922147382, 48.49405570918817, 21.967197988242077, 19.64157789116634, 16.15593100600236, 5.970821321441846, 18.12445316531431, 2.256758334191025, 9.574614729634384, 13.351162356249091, 28.812361638146328, 1.5957691216057308, 16.622063085174787, 8.291859587312052, 7.046725639945928, 11.340070282773887, 31.453253031430968, 6.076507779746499, 3.385137501286538, 5.046265044040321, 7.817640190446719, 98.61543308573549, 31.815490536285218, 10.217907939900583, 1.9544100476116797, 9.574614729634384, 4.51351666838205, 1.1283791670955126, 4.652426491681278, 9.373021315815206, 16.812470934731934, 1.1283791670955126, 2.256758334191025, 33.26327050028088, 1.1283791670955126, 1.9544100476116797, 33.77606596515802, 13.911592676604096, 2.5231325220201604, 4.370193722368317, 4.652426491681278, 1.1283791670955126, 17.480774889473267, 11.507254783503184, 7.817640190446719, 24.747287144606645, 2.763953195770684, 2.256758334191025, 54.47863231375825, 14.406180819073164, 1.1283791670955126, 11.170383851240114, 2.256758334191025, 5.292567428401227, 1.1283791670955126, 8.95623198216277, 9.640875829802336, 1.9544100476116797, 8.51907589177983, 7.978845608028654, 3.385137501286538, 38.26519928662906, 5.292567428401227, 10.823032759612019, 38.497413290657974, 24.121991458915023, 13.540550005146152, 9.0270333367641, 3.385137501286538, 10.704744696916627, 3.385137501286538, 10.464157913908982, 23.829914749152643, 1.9544100476116797, 14.406180819073164, 38.09846559899868, 18.847647942942654, 72.49781266125724, 15.99753570059363, 1.5957691216057308, 1.5957691216057308, 3.5682482323055424, 1.5957691216057308, 8.136857890256438, 6.383076486422923, 19.38054864282415, 17.334489682638438, 4.222008245644752, 80.07517934595138, 14.183506197980657, 3.742410318509555, 6.6755811781245455, 7.225151993843567, 19.867165345562018, 52.454462690725244, 10.464157913908982, 31.614759885488656, 1.9544100476116797, 9.09728368293446, 12.257335203001883, 2.5231325220201604, 6.955796338302048, 9.706684619910241, 39.54160038408638, 2.256758334191025, 4.652426491681278, 1.9544100476116797, 13.110581167104948, 1.1283791670955126, 1.1283791670955126, 2.985410660720923, 1.9544100476116797, 2.5231325220201604, 1.1283791670955126, 3.5682482323055424, 67.07927065117856, 15.67594437773643, 11.340070282773887, 2.5231325220201604]"
SEM_006,379,330,197,47153,11.55,13.09,1.13,124.64,0.62,0.38,2.23,1.54,0.80,0.66,0.44,0.26,0.38,0.19,1.87,"[124.63866047624919, 24.875578761936154, 8.291859587312052, 11.780624362746345, 10.217907939900583, 25.281737508665255, 12.047792665040703, 10.704744696916627, 2.985410660720923, 7.312732791431452, 1.1283791670955126, 3.5682482323055424, 10.823032759612019, 17.876888032555495, 21.23032733700184, 9.965574970333758, 14.27299292922217, 9.304852983362556, 26.196872229566885, 24.253590861306396, 14.27299292922217, 11.562445770562215, 4.652426491681278, 13.63425735166143, 8.214724333230155, 3.385137501286538, 8.214724333230155, 4.068428945128219, 83.72086773180908, 7.653039857325812, 20.310825007719227, 4.068428945128219, 3.1915382432114616, 3.1915382432114616, 11.170383851240114, 14.494292838262302, 17.000746355818674, 1.1283791670955126, 1.1283791670955126, 5.641895835477563, 9.166995688475081, 19.04923279949934, 14.884343478431232, 13.773623058786647, 1.1283791670955126, 7.312732791431452, 11.941642642883693, 22.397686948112614, 4.51351666838205, 1.1283791670955126, 11.396070970426017, 20.775663783985824, 36.03754064347158, 16.351767622932517, 19.015783725757565, 9.23618154310838, 7.399277020331919, 2.256758334191025, 11.396070970426017, 6.4820448144285745, 3.385137501286538, 21.11004122822376, 24.384480051691096, 8.291859587312052, 21.557653718072718, 5.527906391541368, 3.9088200952233594, 9.23618154310838, 3.5682482323055424, 36.772005609005646, 3.742410318509555, 31.614759885488656, 8.593479713983122, 18.19456736586892, 17.03815178355966, 8.444016491289505, 23.12489154112443, 8.884866446580956, 3.5682482323055424, 2.256758334191025, 2.5231325220201604, 6.955796338302048, 9.373021315815206, 3.5682482323055424, 6.4820448144285745, 5.046265044040321, 20.0585068271871, 7.046725639945928, 6.383076486422923, 20.897874625046462, 8.368283871884005, 19.706294962377495, 15.306079714651624, 45.09283261164744, 5.046265044040321, 14.96964127403822, 17.55346033766304, 6.4820448144285745, 2.5231325220201604, 31.554291688816235, 14.450303987687134, 1.1283791670955126, 3.1915382432114616, 2.5231325220201604, 1.1283791670955126, 4.51351666838205, 31.79547449747714, 5.753627391751592, 7.136496464611085, 20.466944330257718, 5.970821321441846, 22.56758334191025, 1.5957691216057308, 2.256758334191025, 19.015783725757565, 7.978845608028654, 26.939683377854365, 1.1283791670955126, 17.697935698969246, 1.9544100476116797, 4.222008245644752, 3.5682482323055424, 1.1283791670955126, 3.9088200952233594, 22.959119571977435, 1.1283791670955126, 1.1283791670955126, 2.763953195770684, 10.280023453913834, 1.1283791670955126, 33.43507619667515, 1.1283791670955126, 7.225151993843567, 1.1283791670955126, 1.5957691216057308, 13.727325035155395, 12.257335203001883, 12.047792665040703, 2.985410660720923, 7.225151993843567, 16.88803298257901, 2.985410660720923, 6.579524642479541, 6.076507779746499, 28.096414677602564, 7.046725639945928, 3.385137501286538, 1.5957691216057308, 3.9088200952233594, 16.85029431422316, 2.763953195770684, 43.70193722368317, 5.527906391541368, 3.742410318509555, 1.5957691216057308, 14.183506197980657, 10.823032759612019, 1.1283791670955126, 18.91508160359296, 1.1283791670955126, 20.71428798138497, 6.863662517577698, 4.51351666838205, 7.312732791431452, 31.815490536285218, 6.863662517577698, 11.834540545406394, 8.812923024107548, 1.1283791670955126, 6.180387232371033, 12.565098628628435, 1.1283791670955126, 2.256758334191025, 24.384480051691096, 1.5957691216057308, 10.155412503859614, 14.450303987687134, 12.666024736934256, 9.09728368293446, 5.4115163798060095, 7.898654169668588, 2.985410660720923, 19.413369239820483, 4.918490759365935, 14.841510746523857, 26.510907730475957, 15.430353037616328, 9.440697438826296, 9.83698151873187, 15.91774699517169, 10.092530088080641, 1.1283791670955126, 1.5957691216057308, 4.068428945128219, 2.256758334191025, 4.918490759365935, 1.1283791670955126]"
SEM_007,528,396,78,192541,10.01,55.16,1.13,492.65,0.08,0.92,1.85,1.89,1.73,4.43,0.45,0.32,0.92,0.10,1.86,"[492.6483284639533, 10.585134856802455, 1.1283791670955126, 1.5957691216057308, 1.9544100476116797, 3.742410318509555, 4.222008245644752, 4.222008245644752, 1.1283791670955126, 4.787307364817192, 2.5231325220201604, 2.763953195770684, 1.5957691216057308, 1.5957691216057308, 4.222008245644752, 3.1915382432114616, 15.430353037616328, 3.9088200952233594, 1.5957691216057308, 1.1283791670955126, 12.360774464742066, 1.1283791670955126, 1.9544100476116797, 2.763953195770684, 1.1283791670955126, 5.970821321441846, 1.1283791670955126, 3.742410318509555, 1.9544100476116797, 3.9088200952233594, 2.5231325220201604, 1.9544100476116797, 3.1915382432114616, 1.1283791670955126, 4.370193722368317, 1.1283791670955126, 3.5682482323055424, 1.5957691216057308, 1.1283791670955126, 2.763953195770684, 1.5957691216057308, 27.524126309792685, 2.256758334191025, 1.9544100476116797, 1.1283791670955126, 2.985410660720923, 4.068428945128219, 4.652426491681278, 2.256758334191025, 7.48482063701911, 2.256758334191025, 9.09728368293446, 4.222008245644752, 14.668929172241665, 2.985410660720923, 2.256758334191025, 3.742410318509555, 2.5231325220201604, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 1.9544100476116797, 1.1283791670955126, 1.9544100476116797, 1.1283791670955126, 1.9544100476116797, 15.91774699517169, 1.1283791670955126, 1.5957691216057308, 2.985410660720923, 1.1283791670955126, 1.5957691216057308, 2.763953195770684, 1.1283791670955126, 3.1915382432114616, 5.046265044040321, 1.5957691216057308, 8.593479713983122]"
SEM_008,468,317,9,2348,12.58,13.19,2.76,49.09,0.98,0.02,2.34,1.30,0.63,0.56,0.46,0.23,0.02,0.03,1.09,"[49.09422021158563, 10.217907939900583, 10.217907939900583, 10.280023453913834, 7.817640190446719, 2.763953195770684, 7.735777827895049, 10.881694613449236, 4.222008245644752]"
SEM_009,355,325,2,113062,191.88,187.51,4.37,379.39,0.02,0.98,1.24,0.14,0.92,0.33,0.18,0.09,0.98,0.11,1.88,"[379.388864904699, 4.370193722368317]"
SEM_010,398,392,130,26880,8.88,13.58,1.13,86.94,0.83,0.17,3.11,4.53,1.83,5.61,0.52,0.31,0.17,0.04,1.64,"[86.93647069871152, 6.282549314314218, 8.368283871884005, 3.1915382432114616, 1.5957691216057308, 6.076507779746499, 2.763953195770684, 16.273715780512877, 1.5957691216057308, 1.5957691216057308, 10.764051215546116, 3.9088200952233594, 8.667244841319219, 27.034043328329254, 1.9544100476116797, 4.222008245644752, 6.863662517577698, 5.4115163798060095, 8.593479713983122, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 3.742410318509555, 4.068428945128219, 29.918011296689148, 2.5231325220201604, 4.068428945128219, 36.85846706297507, 3.5682482323055424, 22.623931952327283, 3.742410318509555, 7.136496464611085, 1.1283791670955126, 1.5957691216057308, 5.292567428401227, 1.1283791670955126, 1.1283791670955126, 4.222008245644752, 8.291859587312052, 2.5231325220201604, 2.5231325220201604, 5.4115163798060095, 5.863230142835039, 8.95623198216277, 2.763953195770684, 19.248706645328987, 17.112717355495807, 8.667244841319219, 1.1283791670955126, 10.585134856802455, 19.248706645328987, 1.5957691216057308, 31.775445850136926, 13.773623058786647, 3.9088200952233594, 8.593479713983122, 1.5957691216057308, 3.1915382432114616, 1.1283791670955126, 13.351162356249091, 1.9544100476116797, 18.403307281560924, 1.5957691216057308, 2.763953195770684, 7.312732791431452, 4.068428945128219, 2.256758334191025, 2.985410660720923, 5.4115163798060095, 15.306079714651624, 5.4115163798060095, 2.763953195770684, 5.292567428401227, 62.20430030512488, 2.985410660720923, 4.222008245644752, 1.1283791670955126, 8.444016491289505, 2.985410660720923, 1.9544100476116797, 86.92914757435041, 5.970821321441846, 5.4115163798060095, 37.71218067772237, 2.256758334191025, 38.97402695217738, 2.5231325220201604, 13.957279475043833, 13.303394180365686, 2.5231325220201604, 4.918490759365935, 39.686235861283144, 2.985410660720923, 10.092530088080641, 2.5231325220201604, 9.507891862878783, 1.9544100476116797, 3.5682482323055424, 5.863230142835039, 1.1283791670955126, 3.385137501286538, 1.9544100476116797, 4.068428945128219, 4.918490759365935, 6.383076486422923, 3.1915382432114616, 3.1915382432114616, 1.1283791670955126, 13.061933202803933, 3.385137501286538, 4.222008245644752, 1.5957691216057308, 3.9088200952233594, 1.1283791670955126, 13.398760233979036, 5.863230142835039, 7.735777827895049, 25.482389366284572, 1.5957691216057308, 1.1283791670955126, 5.753627391751592, 3.5682482323055424, 1.9544100476116797, 11.780624362746345, 7.653039857325812, 1.9544100476116797, 2.5231325220201604, 1.1283791670955126, 10.524820207108489, 6.180387232371033]"
