"SEM_ID","Material.System","Avg_Diameter_um","Pore_Area_Fraction","Particle_Area_Fraction","Aspect_Ratio_Avg","Circularity_Avg","Elongation_Avg","Agglomeration_Degree","Grain_Boundary_Density","Fractal_Dimension","H2.Uptake.wt.."
"SEM_001","MgMg₂NiLaH",14.14,0.68,0.32,2.15,1.44,0.51,0.32,0.12,1.76,7.19
"SEM_002","MgMg₂NiLaH",905.83,0,1,1.43,0.76,0.3,1,0.07,1.85,5.89
"SEM_003","Ti₁₉Hf₄V₄₀Mn₃₅Cr₂",21.75,0.71,0.29,8.79,0.95,0.4,0.29,0.03,1.6,3.55
"SEM_004","Ti₁₉Hf₄V₄₀Mn₃₅Cr₂",4.26,0.66,0.34,1.82,1.66,0.48,0.34,0.35,1.81,3.41
"SEM_005","Ti₁₉Hf₄V₄₀Mn₃₅Cr₂",14.85,0.77,0.23,2.5,1.2,0.49,0.23,0.09,1.68,3.55
"SEM_006","Ti₁₉Hf₄V₄₀Mn₃₅Cr₂",11.55,0.62,0.38,2.23,0.8,0.44,0.38,0.19,1.87,3.57
"SEM_007","LaMgNi ",10.01,0.08,0.92,1.85,1.73,0.45,0.92,0.1,1.86,4.82
"SEM_008","LaMgNi ",12.58,0.98,0.02,2.34,0.63,0.46,0.02,0.03,1.09,5.44
"SEM_009","LaMgNi ",191.88,0.02,0.98,1.24,0.92,0.18,0.98,0.11,1.88,4.8
"SEM_010","LaMgNi ",8.88,0.83,0.17,3.11,1.83,0.52,0.17,0.04,1.64,5.47
"SEM_011","LaMgNi ",16.79,0.53,0.47,1.84,1.28,0.4,0.47,0.19,1.81,1.44
"SEM_013","MgNiLa",16.25,0.5,0.5,1.64,1.02,0.35,0.5,0.2,1.84,7.19
"SEM_014","MgNiLaH",7.78,0.43,0.57,2.47,1.71,0.47,0.57,0.17,1.86,7.19
"SEM_015","TiZrFeNi",1.87,0.69,0.31,1.16,0.67,0.33,0.31,0.4,1.88,1.64
"SEM_016","TiZrFeNi",305.53,0,1,60.23,0.41,0.57,1,0.05,1.49,1.38
"SEM_017","Ce-Mg-Ni",17.74,0.41,0.59,2.02,1.46,0.46,0.59,0.07,1.79,2.6
"SEM_018","CeMgNiG",769.34,0,1,1.43,0.76,0.3,1,0.12,1.82,2.5
"SEM_019","CeMgNiG",26.06,0.14,0.86,1.57,0.45,0.47,0.86,0.2,1.84,2.4
"SEM_020","CeMgNiG",584.34,0,1,1.36,0.77,0.26,1,0.21,1.96,2.08
"SEM_021","CeMgNiG",472.08,0,1,1.52,0.67,0.34,1,0.19,1.88,2.2
"SEM_022","ZK60Ni",475.57,0,1,1.34,0.77,0.25,1,0.12,1.75,6
"SEM_023","ZK60Ni",23.16,0.45,0.55,6.69,1.69,0.47,0.55,0.04,1.8,6
"SEM_024","ZK60Ni ",78.84,0.91,0.09,1.95,0.72,0.38,0.09,0.01,1.44,1.25
"SEM_025","Mg₉₀Y₁.₅Ce₁.₅Ni₇",7.09,0.29,0.71,2.16,1.64,0.45,0.71,0.15,1.89,5.6
"SEM_026","Ti₀.₂V₀.₂Zr₀.₂Nb₀.₂Mo₀.₂",13.59,0.96,0.04,4,0.58,0.54,0.04,0.03,1.17,2.3
"SEM_027","Ti₂₇Cr₂₇V₄₀Fe₆ ",10.3,0.66,0.34,1.94,1.18,0.43,0.34,0.07,1.82,3.55
"SEM_028","Ti₂₇Cr₂₇V₄₀Fe₆ ",10.26,0.56,0.44,1.93,1.51,0.39,0.44,0.17,1.83,3.55
"SEM_029","Ti₁₉Hf₄V₄₀Mn₃₅Cr₂ ",14.3,0.96,0.04,13.01,1.41,0.57,0.04,0.03,1.2,2.34
"SEM_030","MgNi",10.79,0.99,0.01,29.33,0.66,0.56,0.01,0.01,0.88,5.47
